,FileName,Label,ClassName
0,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_004.jpg,0,Agaricus Bisporus
1,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_007.jpg,0,Agaricus Bisporus
2,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_003.jpg,0,Agaricus Bisporus
3,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_005.jpg,0,Agaricus Bisporus
4,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_014.jpg,0,Agaricus Bisporus
5,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_012.jpg,0,Agaricus Bisporus
6,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_010.jpg,0,Agaricus Bisporus
7,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_019.jpg,0,Agaricus Bisporus
8,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_011.jpg,0,Agaricus Bisporus
9,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_015.jpg,0,Agaricus Bisporus
10,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_018.jpg,0,Agaricus Bisporus
11,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_024.jpg,0,Agaricus Bisporus
12,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_023.jpg,0,Agaricus Bisporus
13,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_030.jpg,0,Agaricus Bisporus
14,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_029.jpg,0,Agaricus Bisporus
15,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_031.jpg,0,Agaricus Bisporus
16,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_033.jpg,0,Agaricus Bisporus
17,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_038.jpg,0,Agaricus Bisporus
18,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_040.jpg,0,Agaricus Bisporus
19,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_041.jpg,0,Agaricus Bisporus
20,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_049.jpg,0,Agaricus Bisporus
21,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_045.jpg,0,Agaricus Bisporus
22,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_050.jpg,0,Agaricus Bisporus
23,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_047.jpg,0,Agaricus Bisporus
24,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_054.jpg,0,Agaricus Bisporus
25,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_056.jpg,0,Agaricus Bisporus
26,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_057.jpg,0,Agaricus Bisporus
27,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_058.jpg,0,Agaricus Bisporus
28,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_064.jpg,0,Agaricus Bisporus
29,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_061.jpg,0,Agaricus Bisporus
30,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_063.jpg,0,Agaricus Bisporus
31,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_062.jpg,0,Agaricus Bisporus
32,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_070.jpg,0,Agaricus Bisporus
33,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_077.jpg,0,Agaricus Bisporus
34,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_069.jpg,0,Agaricus Bisporus
35,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_072.jpg,0,Agaricus Bisporus
36,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_075.jpg,0,Agaricus Bisporus
37,/content/gdrive/My Drive/ML Project/Mushroom Research Paper/Agaricus Bisporus/pic_078.jpg,0,Agaricus Bisporus
